epoch,train_loss,val_loss,val_iou
1,0.7327,6.8169,0.2271
2,0.4761,2.1947,0.3306
3,0.3398,0.8386,0.6068
4,0.2639,0.5504,0.6280
5,0.2446,0.7488,0.5274
6,0.2323,0.3449,0.6902
7,0.1919,0.3125,0.6947
8,0.1673,0.1705,0.8045
9,0.1638,0.2640,0.6565
10,0.1398,0.3380,0.6131
11,0.1165,0.1733,0.7431
12,0.1117,0.1365,0.7969
13,0.1008,0.0914,0.8750
14,0.1188,0.0954,0.8536
15,0.1016,0.0995,0.8397
16,0.0996,0.0911,0.8509
17,0.0933,0.0866,0.8552
18,0.1192,0.1392,0.8100
19,0.0966,0.1208,0.8171
20,0.0816,0.0897,0.8401
21,0.1151,0.1905,0.7338
22,0.0892,0.0990,0.8466
23,0.1203,0.1241,0.7915
24,0.0852,0.0931,0.8511
25,0.0818,0.0778,0.8644
26,0.0800,0.0719,0.8740
27,0.0776,0.0857,0.8454
28,0.0938,0.1121,0.8231
29,0.0654,0.1028,0.8217
30,0.0662,0.0911,0.8281
