epoch,train_loss,val_loss,val_iou
1,0.4776,0.6964,0.0412
2,0.2859,0.2677,0.6221
3,0.2122,0.1950,0.7632
4,0.1795,0.4441,0.6343
5,0.1569,0.1548,0.7858
6,0.1320,0.2682,0.6601
7,0.1344,0.2928,0.6799
8,0.1096,0.1236,0.8306
9,0.1217,0.1899,0.7409
10,0.1397,0.1568,0.7297
11,0.0995,0.1672,0.7296
12,0.1017,0.1123,0.8087
13,0.1114,0.1040,0.8249
14,0.0980,0.0842,0.8531
15,0.0903,0.0900,0.8470
16,0.0911,0.1538,0.7654
17,0.0914,0.1035,0.8188
18,0.1022,0.1173,0.8091
19,0.0804,0.0961,0.8402
20,0.0851,0.0863,0.8582
21,0.0628,0.1012,0.8422
22,0.0733,0.0881,0.8627
23,0.0770,0.0814,0.8637
24,0.0632,0.0853,0.8613
25,0.0620,0.1080,0.8301
26,0.0581,0.0714,0.8772
27,0.0673,0.0621,0.8864
28,0.0838,0.0813,0.8656
29,0.0888,0.1182,0.8033
30,0.0710,0.1382,0.7950
31,0.0549,0.0984,0.8412
32,0.0721,0.0696,0.8887
33,0.0867,0.0765,0.8681
34,0.0947,0.1082,0.8382
35,0.0786,0.0869,0.8704
36,0.0936,0.0839,0.8756
37,0.0673,0.0880,0.8828
38,0.0651,0.0966,0.8465
39,0.0625,0.0701,0.8791
40,0.0648,0.0705,0.8777
41,0.0552,0.0910,0.8444
42,0.0664,0.0530,0.9056
43,0.0585,0.0600,0.8971
44,0.0656,0.0737,0.8811
45,0.0668,0.0687,0.8813
46,0.0596,0.0665,0.8805
47,0.0548,0.0645,0.8778
48,0.0619,0.0603,0.8877
49,0.0538,0.0652,0.8765
50,0.0546,0.0813,0.8585
